timestamps,code,open,close,high,low,ycp,vol,amount,MA5,MA10,MA20,MA30,MA60,MSI,DIF,DEA,MACD_Hist,name,industry,block,MA4,MA8,MA12,MA16,MA47,stage
2024-11-11,2025,59.82,60.26,60.28,58.3,59.58,70005.4,415661000.0,58.73,57.92,58.7385,56.81,51.04,59.53,1.61,1.96,-0.35,航天电器,计算机、通信和其他电子设备制造业,主板,58.759999999999934,57.54875000000004,58.17999999999992,59.09312500000007,52.80659574468086,0
2024-11-12,2025,60.38,59.0,61.16,57.88,60.26,77954.0,461964000.0,58.81,57.86,58.9245,57.25,51.24,55.89,1.55,1.88,-0.33,航天电器,计算机、通信和其他电子设备制造业,主板,59.109999999999935,57.85250000000004,58.19666666666657,58.88750000000007,53.106382978723424,0
2024-11-13,2025,58.16,57.78,59.3,56.87,59.0,62210.3,359189000.0,58.84,57.72,59.0095,57.6,51.43,52.55,1.38,1.78,-0.4,航天电器,计算机、通信和其他电子设备制造业,主板,59.15499999999993,58.29625000000004,57.99416666666657,58.51375000000007,53.35808510638299,0
2024-11-14,2025,57.47,55.3,57.47,54.97,57.78,63855.8,356140000.0,58.38,57.59,58.874,57.76,51.6,46.46,1.04,1.63,-0.59,航天电器,计算机、通信和其他电子设备制造业,主板,58.08499999999993,58.21750000000004,57.64416666666657,58.08375000000007,53.55063829787236,0
2024-11-15,2025,54.91,53.4,55.42,53.31,55.3,55368.8,298801000.0,57.15,57.51,58.5485,57.85,51.73,42.4,0.6,1.42,-0.82,航天电器,计算机、通信和其他电子设备制造业,主板,56.36999999999993,57.56500000000004,57.15583333333324,57.72750000000007,53.68276595744683,0
2024-11-18,2025,53.34,54.0,54.48,52.99,53.4,40603.8,218836000.0,55.9,57.31,58.13399999999999,57.79,51.88,44.06,0.3,1.2,-0.9,航天电器,计算机、通信和其他电子设备制造业,主板,55.11999999999993,57.11500000000004,56.94166666666658,57.42750000000007,53.83042553191492,0
2024-11-19,2025,53.78,54.57,55.12,53.33,54.0,38943.7,211042000.0,55.01,56.91,57.6745,57.59,52.05,45.67,0.12,0.98,-0.86,航天电器,计算机、通信和其他电子设备制造业,主板,54.31749999999993,56.73625000000003,56.96999999999991,57.07500000000007,53.99361702127662,0
2024-11-20,2025,54.21,55.33,55.39,54.09,54.57,30812.9,169522000.0,54.52,56.68,57.332,57.59,52.22,47.81,0.03,0.79,-0.76,航天电器,计算机、通信和其他电子设备制造业,主板,54.32499999999993,56.20500000000003,56.9199999999999,56.81437500000007,54.17553191489364,0
2024-11-21,2025,55.11,54.2,55.5,53.8,55.33,38943.5,212447000.0,54.3,56.34,57.087,57.56,52.38,44.97,-0.14,0.61,-0.75,航天电器,计算机、通信和其他电子设备制造业,主板,54.524999999999935,55.447500000000026,56.55166666666658,56.49812500000007,54.33829787234044,0
2024-11-22,2025,54.02,52.01,54.2,51.92,54.2,40541.8,214136000.0,54.02,55.58,56.7475,57.53,52.52,40.0,-0.44,0.4,-0.84,航天电器,计算机、通信和其他电子设备制造业,主板,54.02749999999993,54.573750000000025,56.085833333333255,56.21312500000007,54.44595744680853,0
2024-11-25,2025,52.11,51.2,52.6,49.69,52.01,50602.6,257617000.0,53.46,54.68,56.297,57.39,52.66,38.32,-0.73,0.17,-0.9,航天电器,计算机、通信和其他电子设备制造业,主板,53.18499999999993,53.75125000000003,55.55249999999992,56.023750000000064,54.535106382978725,0
2024-11-26,2025,51.16,52.19,53.19,51.05,51.2,33069.0,172568000.0,52.99,54.0,55.93150000000001,57.28,52.8,41.56,-0.88,-0.04,-0.84,航天电器,计算机、通信和其他电子设备制造业,主板,52.399999999999935,53.36250000000002,54.936666666666575,55.79000000000007,54.65851063829789,0
2024-11-27,2025,51.91,54.4,54.6,51.65,52.19,54205.8,290822000.0,52.8,53.66,55.68850000000001,57.23,52.98,48.11,-0.8,-0.19,-0.61,航天电器,计算机、通信和其他电子设备制造业,主板,52.44999999999993,53.48750000000002,54.44833333333325,55.52625000000007,54.84787234042554,0
2024-11-28,2025,55.05,56.78,58.45,55.05,54.4,112506.0,644203000.0,53.32,53.81,55.69900000000001,57.19,53.2,54.08,-0.55,-0.26,-0.29,航天电器,计算机、通信和其他电子设备制造业,主板,53.642499999999934,53.83500000000002,54.26333333333324,55.47500000000007,55.1185106382979,0
