timestamps,code,open,close,high,low,ycp,vol,amount,MA5,MA10,MA20,MA30,MA60,MSI,DIF,DEA,MACD_Hist,name,industry,block,MA4,MA8,MA12,MA16,MA47,stage
2024-12-03,300516,36.99,38.22,38.79,36.48,37.01,40886.4,154916000.0,36.85,36.34,37.285999999999966,37.69,34.76,56.62,0.02,0.06,-0.04,久之洋,计算机、通信和其他电子设备制造业,创业板,37.032500000000056,36.31125000000009,36.29083333333328,36.88062499999996,36.740000000000016,0
2024-12-04,300516,37.83,37.22,38.27,36.98,38.22,21234.4,79966000.0,37.07,36.41,37.23599999999997,37.61,34.93,51.8,0.05,0.06,-0.01,久之洋,计算机、通信和其他电子设备制造业,创业板,37.29250000000005,36.481250000000095,36.42166666666662,36.74437499999996,36.919148936170224,0
2024-12-05,300516,37.19,37.53,37.77,36.92,37.22,16563.5,61876400.0,37.34,36.52,37.187499999999964,37.62,35.09,53.14,0.1,0.07,0.03,久之洋,计算机、通信和其他电子设备制造业,创业板,37.49500000000005,36.763750000000094,36.511666666666606,36.58749999999996,37.099148936170224,0
2024-12-06,300516,38.0,37.6,38.16,37.05,37.53,17085.5,64221100.0,37.52,36.7,37.12299999999997,37.63,35.26,53.45,0.13,0.08,0.05,久之洋,计算机、通信和其他电子设备制造业,创业板,37.642500000000055,37.076250000000094,36.60249999999995,36.53937499999997,37.28106382978725,0
2024-12-09,300516,37.59,37.03,37.59,36.5,37.6,19032.5,70526000.0,37.52,36.87,36.973499999999966,37.5,35.42,50.49,0.12,0.09,0.03,久之洋,计算机、通信和其他电子设备制造业,创业板,37.345000000000056,37.18875000000008,36.65583333333328,36.554374999999965,37.442978723404266,0
2024-12-10,300516,38.0,37.46,38.29,37.26,37.03,22397.5,84531200.0,37.37,37.11,36.876499999999965,37.42,35.59,52.62,0.14,0.1,0.04,久之洋,计算机、通信和其他电子设备制造业,创业板,37.40500000000007,37.34875000000008,36.78916666666662,36.66749999999997,37.58638297872342,0
2024-12-11,300516,37.2,38.1,39.19,37.2,37.46,24467.5,93178900.0,37.54,37.31,36.77949999999996,37.39,35.77,55.68,0.21,0.12,0.09,久之洋,计算机、通信和其他电子设备制造业,创业板,37.54750000000005,37.52125000000007,37.02499999999996,36.77062499999997,37.64702127659576,0
2024-12-12,300516,37.89,38.1,38.78,37.48,38.1,27487.5,104863000.0,37.66,37.5,36.76599999999998,37.35,35.95,55.68,0.25,0.15,0.1,久之洋,计算机、通信和其他电子设备制造业,创业板,37.67250000000005,37.65750000000008,37.27499999999996,36.86999999999997,37.59829787234043,0
2024-12-13,300516,37.81,36.66,38.07,36.66,38.1,24674.2,91523300.0,37.47,37.49,36.75949999999997,37.36,36.11,47.66,0.18,0.15,0.03,久之洋,计算机、通信和其他电子设备制造业,创业板,37.580000000000055,37.46250000000008,37.31916666666663,36.88687499999997,37.63829787234044,0
2024-12-16,300516,36.66,36.65,37.24,36.3,36.66,13090.0,47933300.0,37.39,37.46,36.80949999999997,37.36,36.26,47.61,0.12,0.15,-0.03,久之洋,计算机、通信和其他电子设备制造业,创业板,37.377500000000055,37.39125000000007,37.358333333333285,36.936249999999966,37.59212765957447,0
2024-12-17,300516,36.65,35.68,37.88,35.66,36.65,27047.0,99147400.0,37.04,37.2,36.770999999999965,37.26,36.4,42.8,-0.02,0.11,-0.13,久之洋,计算机、通信和其他电子设备制造业,创业板,36.77250000000007,37.16000000000008,37.27166666666662,36.96187499999997,37.59617021276597,0
2024-12-18,300516,35.9,36.84,37.46,35.5,35.68,29940.0,109857000.0,36.79,37.16,36.787499999999966,37.21,36.54,49.38,-0.03,0.08,-0.11,久之洋,计算机、通信和其他电子设备制造业,创业板,36.45750000000006,37.06500000000007,37.257499999999965,37.07062499999997,37.59425531914896,0
2024-12-19,300516,36.01,36.15,36.61,35.43,36.84,25323.5,91045700.0,36.4,37.03,36.775499999999965,37.13,36.67,45.99,-0.09,0.05,-0.14,久之洋,计算机、通信和其他电子设备制造业,创业板,36.33000000000006,36.95500000000007,37.08499999999995,37.07187499999996,37.56829787234044,0
2024-12-20,300516,36.38,37.05,37.4,36.03,36.15,23884.2,88192600.0,36.47,36.97,36.834999999999965,37.07,36.81,50.74,-0.06,0.03,-0.09,久之洋,计算机、通信和其他电子设备制造业,创业板,36.430000000000064,36.90375000000007,37.07083333333329,37.12624999999996,37.57787234042555,0
2024-12-23,300516,37.05,35.85,37.45,35.75,37.05,28543.0,103508000.0,36.31,36.85,36.86399999999997,36.93,36.93,45.05,-0.14,-0.01,-0.13,久之洋,计算机、通信和其他电子设备制造业,创业板,36.472500000000046,36.62250000000007,36.93083333333329,37.07187499999996,37.55212765957448,0
2024-12-24,300516,35.75,36.0,37.0,35.38,35.85,19175.5,69003600.0,36.38,36.71,36.90899999999996,36.82,37.05,45.87,-0.19,-0.04,-0.15,久之洋,计算机、通信和其他电子设备制造业,创业板,36.262500000000045,36.36000000000007,36.79749999999997,37.00874999999997,37.50702127659577,0
2024-12-25,300516,35.9,34.94,36.07,34.76,36.0,17125.0,60314600.0,36.0,36.39,36.84949999999996,36.65,37.15,41.2,-0.3,-0.09,-0.21,久之洋,计算机、通信和其他电子设备制造业,创业板,35.96000000000005,36.14500000000008,36.623333333333285,36.803749999999965,37.39936170212768,0
2024-12-26,300516,34.94,35.49,35.68,34.88,34.94,12514.5,44349000.0,35.87,36.13,36.814999999999976,36.55,37.25,44.37,-0.35,-0.15,-0.2,久之洋,计算机、通信和其他电子设备制造业,创业板,35.57000000000005,36.00000000000007,36.45916666666663,36.69562499999997,37.342127659574494,0
2024-12-27,300516,35.86,35.73,36.43,35.53,35.49,18750.5,67539800.0,35.6,36.04,36.765499999999975,36.52,37.33,45.74,-0.36,-0.19,-0.17,久之洋,计算机、通信和其他电子设备制造业,创业板,35.54000000000005,36.00625000000007,36.26166666666662,36.58312499999997,37.25978723404258,0
2024-12-30,300516,35.48,34.99,35.73,34.61,35.73,13730.0,48189400.0,35.43,35.87,36.664499999999975,36.5,37.33,42.28,-0.42,-0.23,-0.19,久之洋,计算机、通信和其他电子设备制造业,创业板,35.28750000000005,35.77500000000008,36.002499999999955,36.419999999999966,37.21340425531917,0
2024-12-31,300516,35.44,33.83,35.44,33.7,34.99,18786.0,64531000.0,35.0,35.69,36.44499999999998,36.41,37.22,37.49,-0.56,-0.3,-0.26,久之洋,计算机、通信和其他电子设备制造业,创业板,35.010000000000055,35.48500000000008,35.766666666666616,36.21999999999996,37.13936170212768,0
2025-01-02,300516,33.98,32.52,33.98,32.17,33.83,17137.5,56577600.0,34.51,35.26,36.209999999999965,36.28,37.18,32.95,-0.77,-0.39,-0.38,久之洋,计算机、通信和其他电子设备制造业,创业板,34.267500000000055,34.918750000000074,35.422499999999964,35.91124999999997,36.960000000000015,0
2025-01-03,300516,32.6,31.24,33.02,31.14,32.52,19032.0,60967000.0,33.66,34.76,35.89549999999998,36.11,37.05,29.23,-1.03,-0.52,-0.51,久之洋,计算机、通信和其他电子设备制造业,创业板,33.14500000000005,34.34250000000007,35.05249999999996,35.482499999999966,36.77574468085108,0
2025-01-06,300516,31.7,31.43,31.81,30.67,31.24,13705.0,43004000.0,32.8,34.2,35.58699999999997,35.96,36.98,30.48,-1.2,-0.66,-0.54,久之洋,计算机、通信和其他电子设备制造业,创业板,32.25500000000005,33.77125000000007,34.601666666666624,35.06562499999996,36.61106382978725,0
2025-01-07,300516,31.44,32.04,32.15,31.21,31.43,11437.0,36258800.0,32.21,33.82,35.33749999999997,35.85,36.9,34.5,-1.27,-0.78,-0.49,久之洋,计算机、通信和其他电子设备制造业,创业板,31.80750000000005,33.40875000000008,34.25916666666662,34.77687499999996,36.46021276595746,0
