timestamps,code,open,close,high,low,ycp,vol,amount,MA5,MA10,MA20,MA30,MA60,MSI,DIF,DEA,MACD_Hist,name,industry,block,MA4,MA8,MA12,MA16,MA47,stage
2024-12-16,2057,8.04,7.93,8.05,7.9,7.99,106677.0,84935500.0,8.13,8.17,8.09249999999999,8.14,7.54,47.11,0.08,0.14,-0.06,中钢天源,化学原料和化学制品制造业,主板,8.104999999999947,8.162499999999985,8.162500000000028,8.126874999999973,7.820212765957444,0
2024-12-17,2057,7.93,7.7,7.95,7.68,7.93,123384.0,96199600.0,8.02,8.12,8.08799999999999,8.11,7.57,40.82,0.05,0.12,-0.07,中钢天源,化学原料和化学制品制造业,主板,7.959999999999948,8.086249999999987,8.134166666666696,8.093124999999972,7.834680851063826,0
2024-12-18,2057,7.75,7.71,7.81,7.6,7.65,109634.0,84778800.0,7.91,8.07,8.075499999999991,8.09,7.6,41.19,0.02,0.1,-0.08,中钢天源,化学原料和化学制品制造业,主板,7.832499999999947,8.029999999999985,8.095833333333362,8.076874999999973,7.84574468085106,0
2024-12-19,2057,7.65,7.72,7.75,7.56,7.71,91325.8,69825000.0,7.81,8.01,8.056999999999992,8.08,7.63,41.58,0.0,0.08,-0.08,中钢天源,化学原料和化学制品制造业,主板,7.764999999999947,7.972499999999986,8.055833333333362,8.062499999999973,7.861063829787231,0
2024-12-20,2057,7.7,7.71,7.79,7.66,7.72,82802.5,63951500.0,7.75,7.97,8.043499999999991,8.05,7.66,41.28,-0.02,0.06,-0.08,中钢天源,化学原料和化学制品制造业,主板,7.709999999999948,7.9074999999999855,8.011666666666695,8.049374999999975,7.878510638297869,0
2024-12-23,2057,7.76,7.43,7.77,7.42,7.71,114053.0,86036900.0,7.65,7.89,8.002999999999991,8.02,7.68,33.99,-0.06,0.04,-0.1,中钢天源,化学原料和化学制品制造业,主板,7.642499999999948,7.801249999999985,7.938333333333361,8.011249999999976,7.893617021276593,0
2024-12-24,2057,7.43,7.54,7.57,7.43,7.43,78312.3,58762100.0,7.62,7.82,7.981499999999992,7.99,7.7,38.58,-0.08,0.01,-0.09,中钢天源,化学原料和化学制品制造业,主板,7.599999999999947,7.716249999999987,7.886666666666695,7.971874999999975,7.908297872340423,0
2024-12-25,2057,7.51,7.43,7.55,7.34,7.54,70373.0,52263800.0,7.57,7.74,7.955499999999992,7.96,7.72,35.9,-0.1,-0.01,-0.09,中钢天源,化学原料和化学制品制造业,主板,7.5274999999999475,7.646249999999986,7.824166666666693,7.923749999999973,7.918510638297869,0
2024-12-26,2057,7.4,7.48,7.52,7.4,7.43,56591.0,42324500.0,7.52,7.66,7.933499999999992,7.94,7.74,38.01,-0.12,-0.03,-0.09,中钢天源,化学原料和化学制品制造业,主板,7.469999999999947,7.589999999999986,7.761666666666693,7.876249999999975,7.9257446808510625,0
2024-12-27,2057,7.5,7.6,7.64,7.48,7.48,70617.2,53575100.0,7.5,7.62,7.911499999999991,7.93,7.75,42.87,-0.12,-0.05,-0.07,中钢天源,化学原料和化学制品制造业,主板,7.512499999999948,7.5774999999999855,7.705000000000028,7.831874999999975,7.937234042553189,0
2024-12-30,2057,7.55,7.45,7.56,7.41,7.6,86810.0,64789900.0,7.5,7.58,7.875499999999992,7.92,7.76,38.78,-0.13,-0.07,-0.06,中钢天源,化学原料和化学制品制造业,主板,7.489999999999949,7.544999999999986,7.640833333333362,7.787499999999975,7.945319148936168,0
2024-12-31,2057,7.44,7.22,7.49,7.21,7.45,81098.0,59321100.0,7.44,7.53,7.826499999999991,7.9,7.75,33.49,-0.15,-0.08,-0.07,中钢天源,化学原料和化学制品制造业,主板,7.4374999999999485,7.482499999999987,7.576666666666694,7.727499999999973,7.945319148936168,0
2025-01-02,2057,7.2,7.09,7.29,7.02,7.22,92000.0,65849400.0,7.37,7.47,7.768999999999991,7.87,7.75,30.93,-0.18,-0.1,-0.08,中钢天源,化学原料和化学制品制造业,主板,7.3399999999999475,7.404999999999987,7.506666666666693,7.656249999999973,7.937872340425528,0
2025-01-03,2057,7.13,6.9,7.2,6.89,7.09,107844.0,75839200.0,7.25,7.39,7.698499999999991,7.83,7.74,27.6,-0.22,-0.13,-0.09,中钢天源,化学原料和化学制品制造业,主板,7.164999999999948,7.338749999999987,7.440000000000027,7.569999999999974,7.927446808510635,0
2025-01-06,2057,6.89,6.97,7.05,6.78,6.9,81285.5,56430200.0,7.13,7.31,7.638999999999991,7.8,7.74,30.56,-0.23,-0.15,-0.08,中钢天源,化学原料和化学制品制造业,主板,7.044999999999948,7.267499999999987,7.378333333333361,7.491874999999974,7.918085106382977,0
2025-01-07,2057,6.99,7.05,7.09,6.92,6.97,61507.2,43123900.0,7.05,7.27,7.582499999999992,7.76,7.74,33.89,-0.24,-0.17,-0.07,中钢天源,化学原料和化学制品制造业,主板,7.002499999999948,7.219999999999987,7.322500000000027,7.433124999999974,7.906382978723401,0
2025-01-08,2057,7.0,6.97,7.04,6.79,7.05,81989.0,56789100.0,7.0,7.22,7.519499999999994,7.73,7.74,32.23,-0.25,-0.18,-0.07,中钢天源,化学原料和化学制品制造业,主板,6.972499999999948,7.156249999999987,7.260833333333363,7.373124999999972,7.876808510638296,0
2025-01-09,2057,6.92,7.03,7.09,6.91,6.97,61635.0,43342600.0,6.98,7.18,7.456999999999994,7.7,7.74,34.82,-0.24,-0.19,-0.05,中钢天源,化学原料和化学制品制造业,主板,7.004999999999948,7.084999999999988,7.227500000000028,7.331249999999972,7.853829787234039,0
