code,timestamps,open,close,high,low,ycp,vol,amount,MA5,MA10,MA20,MA30,MA60,MSI,DIF,DEA,MACD_Hist,name,industry,block,MA4,MA8,MA12,MA16,MA47,stage
2469,2021-09-14,6.68,6.4,6.7,6.4,6.72,158972.0,103526000.0,6.62,6.54,6.391500000000003,6.29,5.94,52.24,0.17,0.17,0.0,三维化学,化学原料和化学制品制造业,主板,6.622500000000005,6.568750000000002,6.524999999999992,6.460625000000006,6.075744680851072,0
2469,2021-09-15,6.39,6.73,6.75,6.36,6.4,193114.0,128196000.0,6.64,6.58,6.4165000000000045,6.33,5.96,60.83,0.17,0.17,0.0,三维化学,化学原料和化学制品制造业,主板,6.622500000000005,6.6037500000000025,6.551666666666657,6.504375000000006,6.09851063829788,0
2469,2021-09-16,6.87,6.77,7.15,6.74,6.73,338181.0,234821000.0,6.65,6.6,6.449500000000005,6.36,5.98,61.72,0.18,0.17,0.01,三维化学,化学原料和化学制品制造业,主板,6.655000000000005,6.652500000000002,6.574166666666657,6.533750000000006,6.122765957446816,0
2469,2021-09-17,6.77,6.71,6.94,6.53,6.77,193615.0,130620000.0,6.67,6.63,6.483000000000006,6.39,6.0,59.52,0.18,0.17,0.01,三维化学,化学原料和化学制品制造业,主板,6.652500000000005,6.666250000000002,6.604999999999991,6.558125000000006,6.144468085106392,0
2469,2021-09-22,6.69,7.03,7.06,6.57,6.71,270653.0,186493000.0,6.73,6.7,6.530500000000004,6.42,6.03,66.41,0.19,0.18,0.01,三维化学,化学原料和化学制品制造业,主板,6.810000000000006,6.7162500000000005,6.649166666666657,6.596250000000006,6.1693617021276665,0
2469,2021-09-23,7.05,6.85,7.05,6.76,7.03,241092.0,165674000.0,6.82,6.72,6.571500000000005,6.45,6.05,60.2,0.19,0.18,0.01,三维化学,化学原料和化学制品制造业,主板,6.840000000000006,6.731250000000001,6.682499999999989,6.623750000000006,6.189361702127666,0
2469,2021-09-24,6.81,6.61,6.82,6.6,6.85,194134.0,129729000.0,6.79,6.72,6.587000000000005,6.46,6.07,53.08,0.17,0.18,-0.01,三维化学,化学原料和化学制品制造业,主板,6.800000000000009,6.727500000000001,6.701666666666656,6.6306250000000055,6.20510638297873,0
2469,2021-09-27,6.64,5.95,6.64,5.95,6.61,228070.0,139331000.0,6.63,6.64,6.568500000000005,6.45,6.08,39.3,0.11,0.16,-0.05,三维化学,化学原料和化学制品制造业,主板,6.610000000000007,6.631250000000001,6.64749999999999,6.6062500000000055,6.206808510638305,0
2469,2021-09-28,5.87,5.87,6.01,5.75,5.95,125505.0,73831900.0,6.46,6.56,6.541000000000006,6.43,6.09,38.01,0.04,0.14,-0.1,三维化学,化学原料和化学制品制造业,主板,6.320000000000006,6.565000000000001,6.584166666666657,6.566875000000006,6.2080851063829865,0
2469,2021-09-29,5.83,5.68,5.97,5.62,5.87,112896.0,65230900.0,6.19,6.46,6.5045000000000055,6.41,6.1,35.07,-0.03,0.11,-0.14,三维化学,化学原料和化学制品制造业,主板,6.027500000000005,6.4337500000000025,6.496666666666656,6.518750000000005,6.202765957446816,0
