code,timestamps,open,close,high,low,ycp,vol,amount,MA5,MA10,MA20,MA30,MA60,MSI,DIF,DEA,MACD_Hist,name,industry,block,MA4,MA8,MA12,MA16,MA47,stage
2469,2022-04-19,5.7,5.8,5.82,5.66,5.65,54167.3,31191800.0,5.81,5.92,5.896000000000003,5.9,6.1,44.15,-0.06,-0.05,-0.01,三维化学,化学原料和化学制品制造业,主板,5.7850000000000055,5.901250000000001,5.920833333333322,5.903750000000006,6.042765957446818,0
2469,2022-04-20,5.96,5.83,6.03,5.77,5.8,99176.8,58639700.0,5.79,5.9,5.893500000000002,5.89,6.09,45.55,-0.06,-0.05,-0.01,三维化学,化学原料和化学制品制造业,主板,5.757500000000005,5.870000000000001,5.910833333333322,5.902500000000006,6.031702127659584,0
2469,2022-04-21,5.84,5.57,5.86,5.53,5.83,73061.0,41435500.0,5.72,5.86,5.879000000000002,5.87,6.07,36.88,-0.08,-0.06,-0.02,三维化学,化学原料和化学制品制造业,主板,5.712500000000005,5.812500000000001,5.879999999999987,5.883750000000006,6.017872340425542,0
2469,2022-04-22,5.57,5.49,5.59,5.45,5.57,62080.3,34157500.0,5.67,5.8,5.859000000000003,5.85,6.05,34.7,-0.1,-0.07,-0.03,三维化学,化学原料和化学制品制造业,主板,5.672500000000005,5.743750000000001,5.834166666666653,5.865625000000006,6.002340425531924,0
2469,2022-04-25,5.43,5.07,5.44,5.06,5.49,82294.0,43275100.0,5.55,5.71,5.821000000000002,5.82,6.02,25.98,-0.15,-0.08,-0.07,三维化学,化学原料和化学制品制造业,主板,5.490000000000005,5.637500000000001,5.764166666666653,5.813125000000007,5.977659574468095,0
2469,2022-04-26,5.13,5.1,5.22,4.98,5.07,71922.3,36679900.0,5.41,5.61,5.783500000000003,5.79,6.0,27.39,-0.19,-0.1,-0.09,三维化学,化学原料和化学制品制造业,主板,5.3075000000000045,5.5325000000000015,5.682499999999987,5.760000000000006,5.952553191489371,0
2469,2022-04-27,4.98,5.19,5.2,4.8,5.1,106134.0,52893400.0,5.28,5.54,5.749500000000002,5.76,5.98,31.58,-0.19,-0.12,-0.07,三维化学,化学原料和化学制品制造业,主板,5.212500000000005,5.462500000000001,5.6124999999999865,5.713125000000006,5.930638297872349,0
2469,2022-04-28,4.9,4.85,4.99,4.74,5.19,90459.0,44014700.0,5.14,5.43,5.703000000000002,5.74,5.97,25.57,-0.24,-0.15,-0.09,三维化学,化学原料和化学制品制造业,主板,5.052500000000004,5.362500000000002,5.513333333333319,5.638750000000004,5.900000000000008,0
2469,2022-04-29,4.87,5.02,5.07,4.85,4.85,86238.6,42893600.0,5.05,5.36,5.658500000000003,5.72,5.95,32.48,-0.25,-0.17,-0.08,三维化学,化学原料和化学制品制造业,主板,5.0400000000000045,5.2650000000000015,5.438333333333318,5.583125000000004,5.8717021276595815,0
2469,2022-05-05,5.01,5.04,5.08,4.95,5.02,109571.0,54967100.0,5.04,5.3,5.613000000000002,5.7,5.93,33.27,-0.26,-0.19,-0.07,三维化学,化学原料和化学制品制造业,主板,5.025000000000004,5.1662500000000025,5.363333333333318,5.518125000000006,5.8448936170212855,0
2469,2022-05-06,4.93,4.92,4.95,4.83,5.04,69866.0,34219800.0,5.0,5.21,5.562000000000002,5.67,5.91,30.94,-0.26,-0.2,-0.06,三维化学,化学原料和化学制品制造业,主板,4.957500000000004,5.085000000000003,5.294166666666652,5.448750000000006,5.814255319148943,0
2469,2022-05-09,4.93,4.99,5.01,4.91,4.92,57058.5,28313300.0,4.96,5.12,5.509500000000003,5.64,5.9,33.85,-0.27,-0.21,-0.06,三维化学,化学原料和化学制品制造业,主板,4.992500000000003,5.022500000000003,5.2391666666666525,5.383125000000005,5.786382978723411,0
2469,2022-05-10,4.94,5.05,5.05,4.9,4.99,81767.3,40803100.0,5.0,5.07,5.466500000000003,5.61,5.87,36.32,-0.26,-0.22,-0.04,三维化学,化学原料和化学制品制造业,主板,5.000000000000004,5.020000000000001,5.1766666666666525,5.328750000000005,5.760000000000009,0
2469,2022-05-11,5.06,5.03,5.16,5.02,5.05,92716.5,47276400.0,5.01,5.03,5.414000000000002,5.58,5.85,35.84,-0.25,-0.23,-0.02,三维化学,化学原料和化学制品制造业,主板,4.997500000000004,5.011250000000002,5.109999999999986,5.271875000000005,5.734042553191498,0
2469,2022-05-12,5.0,5.05,5.09,4.98,5.03,53287.8,26827500.0,5.01,5.02,5.365000000000002,5.56,5.83,36.74,-0.25,-0.23,-0.02,三维化学,化学原料和化学制品制造业,主板,5.030000000000005,4.993750000000002,5.066666666666653,5.228125000000005,5.707659574468093,0
2469,2022-05-13,5.07,5.12,5.12,5.03,5.05,60327.0,30646000.0,5.05,5.03,5.319000000000002,5.53,5.81,39.92,-0.23,-0.23,0.0,三维化学,化学原料和化学制品制造业,主板,5.062500000000004,5.027500000000002,5.035833333333319,5.195000000000005,5.682553191489369,0
