code,timestamps,open,close,high,low,ycp,vol,amount,MA5,MA10,MA20,MA30,MA60,MSI,DIF,DEA,MACD_Hist,name,industry,block,MA4,MA8,MA12,MA16,MA47,stage
2469,2020-04-08,4.58,4.49,4.6,4.46,4.64,108259.0,48716300.0,4.54,4.42,4.360999999999999,4.4,4.22,53.62,0.08,0.05,0.03,三维化学,化学原料和化学制品制造业,主板,4.5799999999999965,4.468750000000006,4.391666666666667,4.378750000000002,4.223617021276598,0
2469,2020-04-09,4.5,4.45,4.51,4.43,4.49,89055.6,39780300.0,4.55,4.44,4.364499999999999,4.41,4.22,52.37,0.07,0.06,0.01,三维化学,化学原料和化学制品制造业,主板,4.532499999999996,4.487500000000008,4.410833333333334,4.386875000000002,4.2391489361702135,0
2469,2020-04-10,4.46,4.28,4.46,4.27,4.45,93200.0,40556500.0,4.48,4.45,4.362999999999999,4.41,4.22,47.29,0.05,0.06,-0.01,三维化学,化学原料和化学制品制造业,主板,4.464999999999995,4.496250000000008,4.413333333333334,4.387500000000002,4.253617021276598,0
2469,2020-04-13,4.28,4.27,4.3,4.21,4.28,50830.3,21593700.0,4.43,4.44,4.360999999999999,4.42,4.23,47.0,0.04,0.05,-0.01,三维化学,化学原料和化学制品制造业,主板,4.372499999999996,4.465000000000009,4.410833333333334,4.380625000000002,4.266382978723406,0
2469,2020-04-14,4.28,4.36,4.36,4.27,4.27,51298.0,22190200.0,4.37,4.46,4.370999999999999,4.42,4.23,49.96,0.03,0.05,-0.02,三维化学,化学原料和化学制品制造业,主板,4.339999999999995,4.460000000000009,4.425833333333334,4.378750000000002,4.277872340425535,0
2469,2020-04-15,4.36,4.36,4.39,4.3,4.36,43436.4,18866300.0,4.34,4.44,4.372999999999998,4.4,4.23,49.96,0.03,0.04,-0.01,三维化学,化学原料和化学制品制造业,主板,4.317499999999996,4.425000000000009,4.430833333333334,4.387500000000002,4.288085106382982,0
2469,2020-04-16,4.37,4.8,4.8,4.35,4.36,300889.0,140206000.0,4.41,4.48,4.399499999999999,4.4,4.24,62.0,0.05,0.05,0.0,三维化学,化学原料和化学制品制造业,主板,4.447499999999996,4.456250000000009,4.48,4.421875000000002,4.306595744680855,0
2469,2020-04-30,5.1,4.45,5.1,4.42,4.8,238702.0,109595000.0,4.45,4.47,4.4030000000000005,4.39,4.24,51.41,0.05,0.05,0.0,三维化学,化学原料和化学制品制造业,主板,4.492499999999996,4.432500000000009,4.474166666666668,4.431250000000002,4.318936170212768,0
2469,2020-05-06,4.8,4.9,4.9,4.6,4.45,76070.3,37200800.0,4.57,4.5,4.4285,4.4,4.25,60.7,0.08,0.05,0.03,三维化学,化学原料和化学制品制造业,主板,4.627499999999996,4.483750000000009,4.515833333333334,4.476250000000002,4.338085106382982,0
2469,2020-05-07,5.09,5.39,5.39,5.0,4.9,581853.0,309302000.0,4.78,4.58,4.487,4.43,4.28,67.9,0.14,0.07,0.07,三维化学,化学原料和化学制品制造业,主板,4.884999999999996,4.601250000000007,4.578333333333334,4.544375000000001,4.369148936170216,0
2469,2020-05-08,5.18,5.28,5.62,5.15,5.39,518029.0,277214000.0,4.96,4.65,4.5385,4.46,4.29,65.02,0.19,0.09,0.1,三维化学,化学原料和化学制品制造业,主板,5.004999999999996,4.726250000000007,4.639166666666668,4.611250000000003,4.398297872340429,0
2469,2020-05-11,5.15,4.94,5.22,4.91,5.28,360747.0,181366000.0,4.99,4.7,4.5705,4.48,4.31,56.98,0.19,0.11,0.08,三维化学,化学原料和化学制品制造业,主板,5.127499999999997,4.810000000000008,4.664166666666668,4.637500000000003,4.418297872340427,0
2469,2020-05-12,4.93,4.91,4.94,4.76,4.94,209738.0,101547000.0,5.08,4.77,4.606999999999998,4.5,4.32,56.32,0.18,0.13,0.05,三维化学,化学原料和化学制品制造业,主板,5.129999999999997,4.878750000000006,4.6991666666666685,4.669375000000001,4.437021276595748,0
2469,2020-05-13,4.84,4.92,4.99,4.73,4.91,171462.0,83380200.0,5.09,4.83,4.638,4.52,4.33,56.5,0.18,0.14,0.04,三维化学,化学原料和化学制品制造业,主板,5.0124999999999975,4.948750000000008,4.738333333333334,4.6868750000000015,4.456808510638299,0
2469,2020-05-14,4.9,4.82,4.9,4.77,4.92,116342.0,56285900.0,4.97,4.88,4.6685,4.54,4.35,54.08,0.17,0.14,0.03,三维化学,化学原料和化学制品制造业,主板,4.897499999999997,4.951250000000008,4.783333333333334,4.703750000000002,4.473191489361704,0
2469,2020-05-15,4.83,4.86,5.07,4.83,4.82,179315.0,88791500.0,4.89,4.93,4.685499999999998,4.56,4.37,54.91,0.15,0.15,0.0,三维化学,化学原料和化学制品制造业,主板,4.877499999999997,5.002500000000008,4.8325000000000005,4.717500000000002,4.490425531914895,0
2469,2020-05-18,4.82,4.56,4.91,4.54,4.86,175813.0,82162900.0,4.81,4.9,4.693499999999999,4.57,4.38,47.9,0.12,0.14,-0.02,三维化学,化学原料和化学制品制造业,主板,4.7899999999999965,4.960000000000008,4.849166666666668,4.7218750000000025,4.500212765957449,0
2469,2020-05-19,4.59,4.64,4.65,4.53,4.56,91634.3,42148700.0,4.76,4.92,4.693499999999999,4.58,4.4,49.74,0.1,0.13,-0.03,三维化学,化学原料和化学制品制造业,主板,4.719999999999997,4.866250000000008,4.872500000000001,4.7337500000000015,4.513191489361704,0
2469,2020-05-20,4.63,4.7,4.72,4.55,4.64,92680.8,42870200.0,4.72,4.9,4.7010000000000005,4.59,4.41,51.14,0.09,0.12,-0.03,三维化学,化学原料和化学制品制造业,主板,4.689999999999997,4.793750000000008,4.8641666666666685,4.7600000000000025,4.525106382978725,0
2469,2020-05-21,4.71,4.57,4.73,4.57,4.7,65465.1,30269700.0,4.67,4.82,4.6975,4.6,4.42,48.03,0.07,0.11,-0.04,三维化学,化学原料和化学制品制造业,主板,4.617499999999997,4.7475000000000085,4.874166666666668,4.778750000000003,4.532765957446809,0
2469,2020-05-22,4.57,4.53,4.65,4.47,4.57,59648.9,27220600.0,4.6,4.74,4.6995000000000005,4.61,4.43,47.08,0.04,0.1,-0.06,三维化学,化学原料和化学制品制造业,主板,4.609999999999999,4.700000000000008,4.843333333333335,4.789375000000003,4.543404255319151,0
2469,2020-05-25,4.53,4.54,4.62,4.51,4.53,58112.0,26485100.0,4.6,4.7,4.7040000000000015,4.62,4.44,47.36,0.03,0.08,-0.05,三维化学,化学原料和化学制品制造业,主板,4.584999999999997,4.652500000000008,4.772500000000002,4.800625000000005,4.545744680851065,0
2469,2020-05-26,4.49,4.54,4.59,4.45,4.54,67694.3,30597600.0,4.58,4.67,4.7170000000000005,4.63,4.45,47.36,0.02,0.07,-0.05,三维化学,化学原料和化学制品制造业,主板,4.544999999999997,4.617500000000008,4.710833333333333,4.784375000000004,4.542553191489363,0
2469,2020-05-27,4.56,4.45,4.58,4.45,4.54,55337.0,24778600.0,4.53,4.62,4.726000000000001,4.63,4.46,44.88,0.0,0.06,-0.06,三维化学,化学原料和化学制品制造业,主板,4.514999999999997,4.566250000000008,4.670000000000002,4.784375000000004,4.531063829787235,0
2469,2020-05-28,4.42,4.29,4.43,4.21,4.45,91615.4,39491000.0,4.47,4.57,4.722500000000002,4.64,4.47,40.79,-0.02,0.04,-0.06,三维化学,化学原料和化学制品制造业,主板,4.4549999999999965,4.532500000000008,4.618333333333335,4.746250000000004,4.5202127659574485,0
2469,2020-05-29,4.27,4.32,4.37,4.24,4.29,53419.1,23112400.0,4.43,4.51,4.720500000000002,4.63,4.47,41.86,-0.04,0.03,-0.07,三维化学,化学原料和化学制品制造业,主板,4.399999999999997,4.492500000000008,4.568333333333333,4.679375000000005,4.514468085106383,0
2469,2020-06-01,4.33,4.4,4.41,4.32,4.32,57534.0,25220800.0,4.4,4.5,4.700500000000003,4.63,4.48,44.73,-0.05,0.01,-0.06,三维化学,化学原料和化学制品制造业,主板,4.364999999999997,4.455000000000006,4.533333333333334,4.624375000000005,4.5159574468085095,0
2469,2020-06-02,4.42,4.6,4.61,4.41,4.4,97116.6,43775300.0,4.41,4.49,4.708000000000002,4.63,4.49,51.21,-0.04,0.0,-0.04,三维化学,化学原料和化学制品制造业,主板,4.402499999999997,4.458750000000006,4.5116666666666685,4.603125000000005,4.518085106382979,0
2469,2020-06-03,4.58,4.54,4.63,4.5,4.6,96903.8,44233100.0,4.43,4.48,4.690000000000002,4.63,4.5,49.34,-0.03,-0.01,-0.02,三维化学,化学原料和化学制品制造业,主板,4.464999999999997,4.460000000000006,4.510000000000002,4.5800000000000045,4.521489361702128,0
2469,2020-06-04,4.56,4.55,4.58,4.47,4.54,47875.4,21682600.0,4.48,4.48,4.6480000000000015,4.62,4.5,49.67,-0.03,-0.01,-0.02,三维化学,化学原料和化学制品制造业,主板,4.522499999999997,4.461250000000007,4.5025,4.556875000000005,4.526595744680852,0
2469,2020-06-05,4.53,4.57,4.6,4.5,4.55,49317.0,22462700.0,4.53,4.48,4.612500000000002,4.63,4.51,50.36,-0.02,-0.01,-0.01,三维化学,化学原料和化学制品制造业,主板,4.564999999999999,4.465000000000007,4.491666666666667,4.541250000000005,4.532127659574468,0
2469,2020-06-08,4.6,4.51,4.63,4.51,4.57,47066.0,21473700.0,4.55,4.48,4.591000000000002,4.63,4.52,48.21,-0.03,-0.02,-0.01,三维化学,化学原料和化学制品制造业,主板,4.542499999999997,4.472500000000006,4.486666666666667,4.5193750000000055,4.539574468085107,0
2469,2020-06-09,4.5,4.49,4.51,4.43,4.51,39377.5,17594800.0,4.53,4.47,4.570000000000002,4.64,4.52,47.48,-0.02,-0.02,0.0,三维化学,化学原料和化学制品制造业,主板,4.529999999999999,4.497500000000007,4.483333333333333,4.515000000000005,4.543191489361703,0
