code,timestamps,open,close,high,low,ycp,vol,amount,MA5,MA10,MA20,MA30,MA60,MSI,DIF,DEA,MACD_Hist,name,industry,block,MA4,MA8,MA12,MA16,MA47,stage
2469,2020-08-26,5.27,5.25,5.34,5.21,5.23,64303.3,33899200.0,5.35,5.41,5.416500000000001,5.43,4.97,47.98,0.04,0.1,-0.06,三维化学,化学原料和化学制品制造业,主板,5.32,5.395000000000002,5.444999999999998,5.419375000000005,5.10276595744681,0
2469,2020-08-27,5.3,5.24,5.3,5.15,5.25,61641.7,32061200.0,5.3,5.38,5.413000000000001,5.46,4.98,47.74,0.03,0.09,-0.06,三维化学,化学原料和化学制品制造业,主板,5.2700000000000005,5.367500000000003,5.399999999999998,5.406250000000004,5.120212765957448,0
2469,2020-08-28,5.2,5.28,5.3,5.18,5.24,50683.0,26550000.0,5.27,5.37,5.407000000000001,5.48,5.0,48.87,0.03,0.08,-0.05,三维化学,化学原料和化学制品制造业,主板,5.250000000000001,5.335000000000004,5.385833333333332,5.398750000000003,5.139574468085106,0
2469,2020-08-31,5.3,5.25,5.34,5.24,5.28,60498.8,31979600.0,5.25,5.35,5.393000000000002,5.49,5.01,48.03,0.01,0.06,-0.05,三维化学,化学原料和化学制品制造业,主板,5.255000000000001,5.3175000000000034,5.361666666666664,5.401875000000004,5.1591489361702125,0
2469,2020-09-01,5.28,5.21,5.28,5.17,5.25,50340.1,26162100.0,5.25,5.31,5.384500000000001,5.48,5.02,46.87,0.0,0.05,-0.05,三维化学,化学原料和化学制品制造业,主板,5.245000000000001,5.282500000000003,5.344999999999996,5.395000000000002,5.178936170212767,0
2469,2020-09-02,5.2,5.26,5.27,5.17,5.21,52345.3,27358800.0,5.25,5.3,5.375000000000001,5.45,5.03,48.54,0.0,0.04,-0.04,三维化学,化学原料和化学制品制造业,主板,5.25,5.260000000000003,5.3283333333333305,5.362500000000003,5.1991489361702135,0
2469,2020-09-03,5.23,5.2,5.25,5.18,5.26,41790.5,21767400.0,5.24,5.27,5.365,5.4,5.04,46.65,-0.01,0.03,-0.04,三维化学,化学原料和化学制品制造业,主板,5.23,5.240000000000004,5.299999999999996,5.346875000000003,5.216170212765958,0
2469,2020-09-04,5.18,5.31,5.37,5.1,5.2,81941.0,43080500.0,5.25,5.26,5.370500000000002,5.38,5.06,50.46,-0.01,0.02,-0.03,三维化学,化学原料和化学制品制造业,主板,5.244999999999999,5.250000000000004,5.2933333333333294,5.332500000000003,5.236382978723404,0
2469,2020-09-07,5.34,5.23,5.35,5.19,5.31,73349.0,38715600.0,5.24,5.25,5.366000000000001,5.37,5.07,47.79,-0.01,0.02,-0.03,三维化学,化学原料和化学制品制造业,主板,5.249999999999999,5.247500000000004,5.271666666666663,5.3212500000000045,5.254680851063831,0
2469,2020-09-08,5.23,5.28,5.29,5.15,5.23,52471.9,27550200.0,5.26,5.25,5.341000000000001,5.37,5.08,49.58,-0.01,0.01,-0.02,三维化学,化学原料和化学制品制造业,主板,5.254999999999999,5.252500000000004,5.258333333333329,5.310000000000004,5.2725531914893615,0
2469,2020-09-09,5.22,5.56,5.57,5.2,5.28,182760.0,99704400.0,5.32,5.28,5.346500000000002,5.37,5.1,58.25,0.02,0.01,0.01,三维化学,化学原料和化学制品制造业,主板,5.344999999999999,5.287500000000004,5.274999999999996,5.311250000000004,5.293404255319149,0
2469,2020-09-10,5.6,5.55,5.66,5.4,5.56,155850.0,85715400.0,5.39,5.31,5.347,5.38,5.12,57.87,0.03,0.02,0.01,三维化学,化学原料和化学制品制造业,主板,5.404999999999999,5.325000000000004,5.301666666666662,5.3212500000000045,5.313404255319148,0
2469,2020-09-11,5.52,5.56,5.6,5.41,5.55,80036.8,43952000.0,5.44,5.34,5.354500000000002,5.38,5.14,58.16,0.04,0.02,0.02,三维化学,化学原料和化学制品制造业,主板,5.487499999999999,5.368750000000004,5.327499999999996,5.325625000000004,5.332340425531915,0
2469,2020-09-14,5.55,5.51,5.62,5.49,5.56,89341.2,49549300.0,5.49,5.37,5.357000000000001,5.38,5.15,56.04,0.05,0.03,0.02,三维化学,化学原料和化学制品制造业,主板,5.544999999999997,5.400000000000004,5.349999999999997,5.3300000000000045,5.347446808510638,0
2469,2020-09-15,5.51,5.31,5.51,5.29,5.51,83810.1,44927400.0,5.5,5.38,5.345500000000001,5.38,5.17,48.44,0.03,0.03,0.0,三维化学,化学原料和化学制品制造业,主板,5.482499999999997,5.413750000000004,5.3524999999999965,5.326875000000005,5.36127659574468,0
2469,2020-09-16,5.3,5.38,5.45,5.2,5.31,71543.8,38054200.0,5.46,5.39,5.3450000000000015,5.38,5.19,50.95,0.03,0.03,0.0,三维化学,化学原料和化学制品制造业,主板,5.439999999999998,5.422500000000004,5.36333333333333,5.336250000000004,5.372765957446809,0
2469,2020-09-17,5.33,5.28,5.36,5.25,5.38,38983.4,20623900.0,5.41,5.4,5.334500000000001,5.38,5.2,47.4,0.02,0.03,-0.01,三维化学,化学原料和化学制品制造业,主板,5.369999999999997,5.428750000000004,5.369166666666664,5.338125000000004,5.383829787234043,0
2469,2020-09-18,5.33,5.36,5.38,5.25,5.28,38967.1,20708600.0,5.37,5.4,5.330500000000002,5.38,5.22,50.38,0.02,0.03,-0.01,三维化学,化学原料和化学制品制造业,主板,5.332499999999998,5.438750000000003,5.377499999999998,5.3456250000000045,5.398936170212767,0
2469,2020-09-21,5.38,5.28,5.38,5.25,5.36,34070.9,18047600.0,5.32,5.41,5.326500000000001,5.38,5.24,47.48,0.01,0.02,-0.01,三维化学,化学原料和化学制品制造业,主板,5.324999999999998,5.403750000000003,5.384166666666663,5.3456250000000045,5.41531914893617,0
2469,2020-09-22,5.25,5.24,5.32,5.21,5.28,35547.6,18654200.0,5.31,5.4,5.327000000000001,5.36,5.25,46.06,0.0,0.02,-0.02,三维化学,化学原料和化学制品制造业,主板,5.289999999999998,5.365000000000005,5.3783333333333285,5.345000000000004,5.4297872340425535,0
2469,2020-09-23,5.26,5.23,5.28,5.21,5.24,29867.5,15625700.0,5.28,5.37,5.326000000000001,5.35,5.26,45.69,-0.01,0.01,-0.02,三维化学,化学原料和化学制品制造业,主板,5.277499999999998,5.323750000000004,5.3783333333333285,5.346250000000005,5.434255319148936,0
2469,2020-09-24,5.2,5.01,5.23,5.0,5.23,69734.5,35383900.0,5.22,5.32,5.314500000000002,5.34,5.28,38.4,-0.04,0.0,-0.04,三维化学,化学原料和化学制品制造业,主板,5.189999999999999,5.261250000000004,5.3558333333333294,5.330625000000005,5.42340425531915,0
2469,2020-09-25,5.06,4.99,5.06,4.95,5.01,28161.4,14053500.0,5.15,5.26,5.300000000000002,5.32,5.28,37.81,-0.05,-0.01,-0.04,三维化学,化学原料和化学制品制造业,主板,5.117499999999998,5.221250000000004,5.308333333333329,5.317500000000004,5.400425531914895,0
2469,2020-09-28,5.0,4.96,5.03,4.92,4.99,20348.0,10083700.0,5.09,5.2,5.285500000000001,5.31,5.29,36.89,-0.07,-0.02,-0.05,三维化学,化学原料和化学制品制造业,主板,5.047499999999999,5.168750000000004,5.259166666666662,5.295625000000004,5.363829787234043,0
2469,2020-09-29,4.96,5.02,5.05,4.94,4.96,21666.1,10840500.0,5.04,5.18,5.276000000000002,5.29,5.3,40.02,-0.08,-0.03,-0.05,三维化学,化学原料和化学制品制造业,主板,4.994999999999997,5.136250000000004,5.214166666666661,5.282500000000003,5.342765957446809,0
2469,2020-09-30,4.99,5.09,5.14,4.93,5.02,35798.7,17974500.0,5.01,5.15,5.267500000000001,5.28,5.3,43.54,-0.08,-0.04,-0.04,三维化学,化学原料和化学制品制造业,主板,5.014999999999997,5.1025000000000045,5.179166666666662,5.2706250000000034,5.335957446808512,0
