stock_code,start,end,duration_days,duration_type,threshold_used,note,feature_vector
002119,2019-06-03,2019-06-05,3,short,10,跟随于 2019-05-31 结束的stage2之后,"-0.7016666666666657,-0.024166666666667187,0.0294444444444449,0.0841666666666659,0.14683333333333337,0.04702127659574392,-0.22499999999999787,0.9891666666666659,0.7514583333333343,0.6042083333333329,1.932312056737589"
002119,2019-09-18,2019-09-20,3,short,10,跟随于 2019-09-17 结束的stage2之后,"-0.15333333333333363,0.02124999999999962,0.04138888888888914,0.09291666666666683,0.062000000000000575,0.060212765957446734,-0.03541666666666643,0.3348611111111109,0.41243055555555524,0.35879166666666745,0.4628971631205676"
002119,2020-01-17,2020-02-03,6,short,10,跟随于 2020-01-16 结束的stage2之后,"0.042916666666666714,0.09895833333333304,0.09916666666666707,0.07739583333333311,0.08250000000000017,0.04283687943262393,0.20249999999999999,0.3220833333333335,0.22947916666666637,0.1791874999999997,0.8986294326241134"
002119,2020-02-25,2020-02-26,2,short,10,跟随于 2020-02-24 结束的stage2之后,"-0.21750000000000114,-0.006249999999999645,0.012916666666667354,0.05406249999999968,0.013500000000000512,0.02627659574468133,0.11375000000000135,0.5258333333333312,0.5001041666666675,0.20481250000000184,1.1740638297872312"
002469,2019-04-11,2019-04-16,4,short,10,跟随于 2019-04-10 结束的stage2之后,"-0.020000000000000018,0.0006250000000000977,0.017291666666666705,0.007656250000000142,0.013374999999999915,0.017446808510638512,0.006250000000000311,0.06645833333333306,0.04338541666666673,0.03765624999999995,0.29632978723404246"
002469,2020-05-13,2020-05-18,4,short,10,跟随于 2020-05-12 结束的stage2之后,"-0.055625000000000036,0.0028125000000001066,0.027708333333333224,0.008749999999999813,0.013875000000000082,0.010851063829787178,-0.07124999999999981,0.16479166666666667,0.09333333333333305,0.03612499999999996,0.19121542553191517"
002469,2020-07-27,2020-07-31,5,short,10,跟随于 2020-07-24 结束的stage2之后,"-0.12950000000000017,0.04925000000000015,0.044500000000000026,0.0365000000000002,0.04009999999999998,0.01378723404255311,0.013750000000000285,0.3049166666666666,0.154458333333333,0.13327500000000025,0.34301489361702125"
002469,2020-12-04,2020-12-09,4,short,10,跟随于 2020-12-03 结束的stage2之后,"-0.05312499999999987,0.001875000000000071,0.005416666666666403,0.025937499999999725,0.025125000000000064,0.010638297872340496,-0.02187500000000009,0.0706249999999995,0.10890625000000043,0.13109375,0.2922739361702127"
