stock_code,start,end,duration_days,duration_type,threshold_used,feature_vector,probabilities
002469,2019-03-15,2019-03-20,4,short,10,"0.010000000000000009,0.007812500000000222,0.016458333333333464,0.016562499999999813,0.018750000000000044,0.01191489361702125,-0.01718749999999991,0.028854166666666847,0.054895833333333144,0.06368750000000012,0.25105319148936167","{'class1': 0.69, 'class2': 0.29, 'class3': 0.01, 'class4': 0.01}"
002469,2019-03-29,2019-04-17,13,long,10,"0.019999999999999983,0.019326923076922988,0.021474358974358985,0.016586538461538475,0.015807692307692293,0.0190016366612112,0.03500000000000014,0.04346153846153829,0.038028846153846343,0.028201923076923006,0.30894517184942705","{'class1': 0.69, 'class2': 0.29, 'class3': 0.01, 'class4': 0.01}"
002469,2019-09-02,2019-09-12,9,short,10,"0.01999999999999997,0.015972222222222204,0.01453703703703699,0.016250000000000025,0.015611111111111044,-0.004917257683215048,0.033750000000000294,0.029490740740740515,0.034189814814814756,0.03656944444444443,-0.08686052009456284","{'class1': 0.69, 'class2': 0.29, 'class3': 0.01, 'class4': 0.01}"
002469,2020-04-15,2020-05-06,4,short,10,"0.0774999999999999,0.014687500000000187,0.02124999999999999,0.022187500000000027,0.013875000000000082,0.012499999999999734,0.02187500000000009,-0.025833333333333153,0.04598958333333303,0.028218750000000403,0.088074468085106","{'class1': 0.69, 'class2': 0.29, 'class3': 0.01, 'class4': 0.01}"
002469,2020-11-16,2020-11-23,6,short,10,"0.08000000000000007,0.046250000000000124,0.03555555555555564,0.014895833333333405,0.013416666666666632,0.006134751773049747,0.11708333333333343,0.05138888888888878,0.007256944444444802,-0.019895833333333446,-0.007287234042553455","{'class1': 0.69, 'class2': 0.29, 'class3': 0.01, 'class4': 0.01}"
002469,2020-11-16,2020-11-26,9,short,10,"0.06722222222222227,0.05625000000000006,0.04120370370370363,0.024513888888888898,0.01544444444444447,0.005768321513002365,0.13388888888888908,0.08583333333333323,0.031041666666666953,0.002791666666666575,0.010800236406619115","{'class1': 0.69, 'class2': 0.29, 'class3': 0.01, 'class4': 0.01}"
