stock_code,start,end,duration_days,duration_type,threshold_used,feature_vector
002469,2020-11-16,2020-11-26,9,short,10,"0.06722222222222227,0.05625000000000006,0.04120370370370363,0.024513888888888898,0.01544444444444447,0.005768321513002365,0.13388888888888908,0.08583333333333323,0.031041666666666953,0.002791666666666575,0.010800236406619115"
002919,2019-05-16,2019-05-31,12,long,10,"0.2877083333333337,0.3170833333333336,0.31027777777777743,0.20390624999999987,0.10441666666666667,0.05063829787234031,0.6751041666666655,0.698159722222222,0.43371527777777885,0.10214583333333287,-0.5299849290780143"
002919,2019-05-16,2019-06-10,17,long,10,"0.232794117647059,0.26235294117647084,0.24588235294117625,0.22202205882352935,0.15423529411764705,0.061339173967459255,0.5905147058823523,0.5548774509803922,0.42317401960784384,0.2956691176470585,-0.21707947434292887"
002919,2019-10-10,2019-10-29,14,long,10,"0.1642857142857141,0.19794642857142872,0.16238095238095238,0.13290178571428538,0.08517857142857135,0.07179331306990873,0.48562500000000003,0.34348214285714324,0.2764732142857141,0.13320535714285725,0.5980911854103336"
002919,2019-12-31,2020-01-09,7,short,10,"0.10678571428571411,0.07946428571428577,0.060238095238095014,0.062053571428571076,0.04014285714285722,-0.0579331306990876,0.18696428571428594,0.09565476190476195,0.11005952380952369,0.08889285714285755,-0.20459574468085076"
002919,2020-05-26,2020-06-02,6,short,10,"0.07666666666666651,-0.019375000000000142,0.041250000000000085,0.08864583333333353,0.05583333333333318,0.03308510638297868,-0.047291666666666586,-0.027152777777778248,0.2574652777777775,0.2358958333333344,0.2829539007092192"
002919,2020-05-26,2020-06-05,9,short,10,"0.15472222222222223,0.0625,0.05435185185185196,0.09743055555555556,0.08444444444444482,0.04198581560283681,0.10916666666666666,0.04212962962962901,0.16662037037037042,0.23963888888888935,0.3702458628841608"
002919,2020-07-02,2020-07-08,5,short,10,"0.1115000000000002,0.07999999999999971,0.035666666666666916,0.018125000000000568,-0.020299999999999586,0.02923404255319184,0.2177500000000002,0.011583333333332746,0.011416666666666941,-0.13084999999999952,0.3914617021276598"
002919,2020-07-02,2020-07-22,15,long,10,"0.08800000000000002,0.10541666666666671,0.09066666666666663,0.06854166666666686,0.03716666666666673,0.04886524822695056,0.19441666666666677,0.19869444444444492,0.14776388888888808,0.04882500000000031,0.3274418439716312"
002919,2020-07-27,2020-07-31,5,short,10,"0.15849999999999936,0.11450000000000031,0.04166666666666714,0.07137499999999974,0.08890000000000028,0.045659574468084684,0.21650000000000064,0.08300000000000055,0.06112499999999983,0.21047499999999886,0.6728148936170214"
002919,2020-07-27,2020-09-01,27,long,10,"0.7255555555555554,0.7509722222222222,0.6765432098765433,0.5893055555555555,0.5023703703703702,0.24081954294720256,1.4762037037037041,1.3975000000000004,1.1792129629629626,0.9121388888888892,2.773086682427107"
002919,2020-07-27,2020-09-14,36,long,10,"0.6695138888888889,0.6787847222222223,0.6495370370370371,0.6350000000000001,0.603375,0.3165070921985815,1.3192708333333336,1.340405092592593,1.2342824074074068,1.200083333333333,4.56355437352246"
002919,2020-07-27,2020-09-17,39,long,10,"0.6715384615384615,0.6450641025641025,0.6410470085470086,0.6104326923076924,0.6013717948717948,0.33482815057283133,1.315064102564103,1.2512820512820515,1.2359615384615383,1.1722435897435894,5.0541939443535195"
002919,2021-01-14,2021-01-22,7,short,10,"0.3282142857142856,0.2051785714285716,0.13023809523809554,0.09508928571428552,0.061000000000000956,-0.051428571428571344,0.4948214285714282,0.15505952380952692,0.06315476190475929,-0.018178571428572963,-0.3219088145896651"
