stock_code,start,end,duration_days,duration_type,threshold_used,note,feature_vector
000021,2022-07-01,2022-07-04,2,short,10,跟随于 2022-06-30 结束的stage2之后,"-0.07624999999999904,0.024374999999999147,-0.001666666666666039,0.005937500000000817,-0.0004999999999997229,0.012659574468084855,0.09437500000000032,0.11104166666666604,0.05177083333333421,0.04056250000000006,0.5666382978723403"
000021,2022-08-19,2022-08-24,4,short,10,跟随于 2022-08-18 结束的stage2之后,"-0.08375000000000021,-0.010312499999999947,0.035416666666666874,0.06265624999999986,0.05412499999999998,0.030957446808510536,-0.08562499999999984,0.20500000000000007,0.3037499999999991,0.23100000000000076,0.7721515957446807"
