stock_code,start,end,duration_days,duration_type,threshold_used,end_condition,feature_vector
003042,2022-01-14,2022-01-21,6,long,4,结束时下降的均线: [4],"2.2287499999999993,1.4674999999999994,0.9172222222222223,0.7179166666666669,0.5859166666666665,0.275212765957446,3.8489583333333344,1.5134027777777785,0.695972222222221,0.5282499999999999,1.5684609929078015"
003042,2022-11-03,2022-11-15,9,long,4,结束时下降的均线: [4],"1.1994444444444443,1.282777777777778,1.0742592592592592,0.8067361111111112,0.6783888888888892,0.24534278959810862,3.0990277777777773,2.6049537037037056,1.6158101851851836,1.055430555555556,2.2223368794326244"
003042,2023-11-28,2023-12-01,4,short,4,结束时下降的均线: [4],"0.1431250000000004,0.07718749999999996,0.054374999999999396,0.04906249999999979,0.05149999999999988,0.015531914893617937,0.35781250000000053,0.13885416666666472,0.10114583333333549,0.09718749999999865,0.3704521276595738"
002919,2019-04-04,2019-04-12,6,long,4,"结束时下降的均线: [4, 8]","0.3533333333333329,0.4283333333333328,0.2561111111111109,0.19354166666666708,0.1512500000000004,0.10304964539007067,1.076875,0.7445138888888891,0.25840277777777726,0.18354166666666613,1.1864184397163111"
002919,2020-07-09,2020-07-14,4,short,4,结束时下降的均线: [4],"0.20999999999999996,0.16718749999999982,0.13416666666666632,0.07750000000000057,0.06887500000000024,0.06505319148936106,0.4428125000000014,0.30885416666666643,0.11380208333333286,0.08253124999999883,0.26747872340425616"
002919,2020-08-03,2020-08-27,19,long,4,结束时下降的均线: [4],"1.028157894736842,0.9249999999999999,0.8010964912280699,0.6456249999999999,0.5381315789473682,0.25314669652855537,2.007434210526316,1.6552850877192984,1.229155701754386,0.8454144736842106,2.6375061590145576"
002919,2020-09-02,2020-09-07,4,short,4,结束时下降的均线: [4],"0.8524999999999991,0.29312499999999986,0.6014583333333334,0.7056249999999995,0.7992500000000007,0.4137765957446806,1.846562500000001,1.1309375000000017,1.9631249999999998,2.568374999999996,9.076638297872343"
002919,2020-09-18,2020-09-24,5,long,4,结束时下降的均线: [4],"0.5654999999999987,0.5297499999999999,0.3321666666666673,0.3977500000000006,0.3498000000000019,0.506425531914892,1.1817499999999996,1.0434166666666684,0.5467083333333307,1.0378250000000038,10.372640425531914"
002919,2020-10-14,2020-10-22,7,long,4,结束时下降的均线: [4],"1.114285714285715,1.3087500000000003,0.7560714285714292,0.6301785714285718,0.6205714285714288,0.675866261398176,3.447499999999999,2.0736904761904804,0.9048809523809516,0.936714285714286,7.559562310030391"
002919,2021-02-01,2021-02-08,6,long,4,结束时下降的均线: [4],"0.6295833333333339,0.45479166666666754,0.34569444444444386,0.3404166666666673,0.2791666666666662,0.11187943262411437,1.4470833333333328,0.6781944444444422,0.6598263888888916,0.5758958333333339,0.9834503546099285"
002919,2021-02-10,2021-02-22,4,short,4,结束时下降的均线: [4],"0.5581250000000004,0.34999999999999964,0.5175000000000001,0.33031250000000156,0.33750000000000213,0.1253723404255318,0.887812499999999,1.3007291666666685,1.034739583333332,0.772718750000001,2.434518617021279"
002919,2021-04-28,2021-05-06,4,short,4,结束时下降的均线: [4],"0.9737500000000008,0.5481249999999989,0.5181249999999977,0.29890624999999993,0.2367499999999989,0.11042553191489546,1.7315625000000008,1.1007291666666656,0.6339583333333341,0.18437499999999574,1.4465824468085131"
002919,2021-05-10,2021-05-13,4,short,4,"结束时下降的均线: [4, 8]","0.14750000000000085,0.35562499999999986,0.36020833333333613,0.3754687499999996,0.26162500000000044,0.13218085106382915,0.5478124999999991,1.506562500000003,1.1064062499999991,0.9097187499999961,2.1875984042553167"
002919,2022-08-10,2022-08-15,4,short,4,结束时下降的均线: [4],"0.7256249999999991,0.538125,0.359375,0.32968750000000036,0.34499999999999886,0.12558510638297804,2.157187499999999,0.8038541666666665,0.5898958333333342,0.6761874999999993,1.836558510638298"
002919,2022-09-14,2022-09-20,5,long,4,结束时下降的均线: [4],"0.2914999999999999,0.1592499999999994,0.2789999999999992,0.18287499999999995,0.15689999999999885,0.21565957446808567,0.40150000000000075,0.7161666666666655,0.5178333333333341,0.2600999999999992,3.4954531914893607"
002919,2022-11-10,2022-11-15,4,short,4,结束时下降的均线: [4],"0.8556249999999999,0.6449999999999996,0.6168750000000003,0.4729687500000006,0.35762499999999964,0.1753723404255325,2.2781249999999993,1.530000000000002,1.214062499999999,0.5848125000000008,0.4771755319148907"
002919,2023-04-03,2023-04-14,9,long,4,结束时下降的均线: [4],"1.0099999999999996,0.8125,0.6512037037037044,0.6071527777777774,0.5042777777777777,0.24177304964539006,1.815277777777779,1.4438888888888917,1.1135416666666638,0.946791666666668,2.357775413711583"
